case,x_m,Nu,Nu_reference,Cf,Cf_reference,q_wall_W_m2
fine,0.9930555555555556,64.20795326450576,62.19796757636745,0.003935753511782984,0.003666114905194382,166.16838702187619
uniform,0.010416666666666666,3.789561257387201e-15,nan,0.0367923802468249,0.03579550237321857,9.349605534225703e-13
uniform,0.03125,2.2737367544323204e-14,nan,0.032908297522766236,0.020666542930955625,1.8699211068451405e-12
uniform,0.05208333333333333,0.0,nan,0.02914051952544111,0.01600823531905435,0.0
uniform,0.07291666666666666,2.65269288017104e-14,nan,0.025630249803722086,0.013529428190594097,9.349605534225703e-13
uniform,0.09375,0.0,nan,0.022423436802951842,0.011931834124406187,0.0
uniform,0.11458333333333333,0.0,nan,0.019547776218777242,0.010792750050385658,0.0
uniform,0.13541666666666666,0.0,nan,0.01702016760302974,0.009927886095202496,0.0
uniform,0.15625,-2.1941559680271887e-11,nan,0.0148460214291905,0.009242358970706905,-3.6089477362111205e-10
uniform,0.17708333333333331,-7.956055014801675e-09,nan,0.013017625624815012,0.008681684541578106,-1.1546575842658057e-07
uniform,0.19791666666666666,-2.626000188380809e-06,nan,0.011513765687795838,0.008212051446217372,-3.409930349880596e-05
uniform,0.21875,-0.0007999024902460405,nan,0.010301456768766518,0.007811219007821214,-0.009397711542547767
uniform,0.23958333333333331,-0.2279030443610357,nan,0.0093396569046846,0.007463878203230297,-2.4447060480328147
uniform,0.26041666666666663,105.01991417842805,88.39841783872149,0.00858403777844742,0.007159100474643713,1036.420529044071
uniform,0.28125,79.70856910274796,65.14734966835285,0.007991571082994432,0.006888847643651875,728.3591914455548
uniform,0.3020833333333333,66.85260173271507,58.15322410758883,0.007523936557119087,0.006647057918412283,568.7542723963954
uniform,0.32291666666666663,60.42615345399869,54.811576107564434,0.007149340904551552,0.006429062014942057,480.91421226356647
uniform,0.34375,57.19781666104389,52.97621061235009,0.006842896348837162,0.006231197146886506,427.63167656402265
uniform,0.3645833333333333,55.541327224792425,51.92408543936006,0.006586015078280392,0.006050544226174077,391.5187500828797
uniform,0.38541666666666663,54.672729248948514,51.3345108871916,0.006365316106106415,0.005884744340243646,364.56366919731295
uniform,0.40625,54.22199685432811,51.04111193363978,0.006171424020507286,0.005731867709549103,343.0166939461496
uniform,0.4270833333333333,54.01346711568447,50.948235989748106,0.005997882072247907,0.005590318264318069,325.02933187272373
uniform,0.44791666666666663,53.96036680542425,50.99673411656102,0.0058402730095629,0.0054587629362531885,309.60701623800634
uniform,0.46875,54.016400530339745,51.147983058488464,0.005695559686702929,0.005336078439684783,296.1539186410094
uniform,0.4895833333333333,54.15416020111432,51.37567393926376,0.005561617178903189,0.00522131064933239,284.2747745706155
uniform,0.5104166666666666,54.35559921370378,51.66127150921452,0.005436914753003452,0.005113643196174081,273.68598853071427
uniform,0.53125,54.607776418809195,51.99135326095308,0.005320307015089832,0.005012372907099532,264.1731489813452
uniform,0.5520833333333333,54.90086864581286,52.355974955783275,0.0052109005062799685,0.0049168903928119385,255.56872287348966
uniform,0.5729166666666666,55.22716393564861,52.74762665435872,0.0051079702891368844,0.004826664555365322,247.73901611278595
uniform,0.59375,55.580491916259,53.160543599887184,0.005010908506048216,0.004741230113072655,240.57577132595478
uniform,0.6145833333333333,55.95586220824977,53.59023835862548,0.004919192768381279,0.004660177471980821,233.99034447490484
uniform,0.6354166666666666,56.34921234508175,54.033175357019424,0.004832366524150436,0.004583144439497478,227.90946999637004
uniform,0.65625,56.75722068492591,54.48653961599327,0.004750026507898215,0.004509809396864699,222.27208710134795
uniform,0.6770833333333333,57.17716240079687,54.94806931672996,0.004671814322690977,0.004439885636349545,217.02691550037855
uniform,0.6979166666666666,57.60679646471488,55.415932551376685,0.0045974104356050005,0.004373116635390917,212.13057945932027
uniform,0.71875,58.044276123330725,55.88863524392395,0.004526529619270181,0.004309272089833592,207.5461421035965
uniform,0.7395833333333333,58.48807773043797,56.36495143630451,0.0044589173145196965,0.004248144566237034,203.24195123455857
uniform,0.7604166666666666,58.93694418779514,56.84386986917843,0.004394346641569328,0.004189546662223315,199.19072424675096
uniform,0.78125,59.389840164450895,57.3245526000606,0.00433261592815157,0.004133308586191126,195.36881820497769
uniform,0.8020833333333333,59.8459169466953,57.80630262645925,0.00427354670390745,0.004079276085114326,191.75564453361906
uniform,0.8229166666666666,60.30448533888702,58.288538323510934,0.004216982165867009,0.004027308662767698,188.33319775709123
uniform,0.84375,60.764995571323716,58.770773093133265,0.004162786176104448,0.0039772780414687285,185.085675399469
uniform,0.8645833333333333,61.22702360970946,59.25259903765525,0.004110842880535133,0.00392906682895554,181.99917186731955
uniform,0.8854166666666666,61.69026536907726,59.7336737692227,0.004061057440900193,0.003882567358835548,179.0614384924558
uniform,0.90625,62.15454295917302,60.213709682865684,0.004013361116241849,0.0038376806785143654,176.26171079180654
uniform,0.9270833333333333,62.619606207651415,60.6924651801245,0.003967662398621724,0.00379431566293743,173.58999150058156
uniform,0.9479166666666666,63.08596374666189,61.16973744808831,0.003923857232474688,0.0037523882360688456,171.03921951182883
uniform,0.96875,63.571082278351476,61.645356487055146,0.003887887231334466,0.0037118206849635943,168.647929244246
uniform,0.9895833333333333,63.8184795396554,62.1191801468031,0.0038000746376483934,0.0036725410536935007,165.7399502318293
taller,0.010416666666666666,0.0,nan,0.09271591944602575,0.03579550237321857,0.0
taller,0.03125,0.0,nan,0.04520131591077881,0.020666542930955625,0.0
taller,0.05208333333333333,0.0,nan,0.02567203352046079,0.01600823531905435,0.0
taller,0.07291666666666666,0.0,nan,0.018582076851432552,0.013529428190594097,0.0
taller,0.09375,1.1070564260932703e-13,nan,0.015364288844203674,0.011931834124406187,3.0348106827303523e-12
taller,0.11458333333333333,0.0,nan,0.013423058780001784,0.010792750050385658,0.0
taller,0.13541666666666666,1.599081504356946e-13,nan,0.01206535395354048,0.009927886095202496,3.0348106827303523e-12
taller,0.15625,-1.4207224134863636e-11,nan,0.011043031418232293,0.009242358970706905,-2.3368042257023713e-10
taller,0.17708333333333331,-5.60144720286586e-09,nan,0.010236828020014624,0.008681684541578106,-8.129347375829796e-08
taller,0.19791666666666666,-2.200849651968088e-06,nan,0.009580048217408897,0.008212051446217372,-2.857861190176667e-05
taller,0.21875,-0.0009386497885947872,nan,0.00903193311559847,0.007811219007821214,-0.011027794087719329
taller,0.23958333333333331,-0.5163686242851017,nan,0.008565899178694426,0.007463878203230297,-5.539063781896535
taller,0.26041666666666663,102.57874802265626,88.39841783872149,0.008163709766418828,0.007159100474643713,1012.3291484859902
taller,0.28125,71.86966113875636,65.14734966835285,0.007812345045268637,0.006888847643651875,656.728992450147
taller,0.3020833333333333,63.21350825893775,58.15322410758883,0.007502206883034826,0.006647057918412283,537.7943709532801
taller,0.32291666666666663,59.1259289814929,54.811576107564434,0.007226032263911274,0.006429062014942057,470.5661031714171
taller,0.34375,56.85567379833256,52.97621061235009,0.006978205368518317,0.006231197146886506,425.0736921068064
